"uhgv_genome","uhgv_votu","genome_length","is_jumbo_phage","gc_percent","cds_count","cds_density","avg_cds_length","cds_strand_switch_rate","genetic_code","is_recoded","trna_count_total","trna_count_suppressor","checkv_quality","checkv_completeness","checkv_completeness_method","checkv_trimmed","viral_confidence","genomad_virus_score","genomad_virus_hallmarks","genomad_plasmid_hallmarks","viralverify_prediction","viralverify_score","checkv_viral_markers","checkv_host_markers","uhgv_taxonomy","ictv_taxonomy","ictv_taxonomy_method","ictv_taxonomy_evidence","realm_name","kingdom_name","phylum_name","class_name","order_name","family_name","subfamily_name","genus_name","taxon_alias","crispr_host_lineage_gtdb_r207","crispr_total_connections","crispr_host_agreement","kmers_host_lineage_gtdb_r207","kmers_total_connections","kmers_host_agreement","host_lineage_gtdb_r207","host_prediction_method","crispr_host_range_genus_entropy","kmers_host_range_genus_entropy","crispr_host_range_red","kmers_host_range_red","bacphlip_temperate_score","bacphlip_virulent_score","has_integrase","lifestyle","lifestyle_evidence","dgr_present","anticrispr_num_genes","abricate_num_genes","http_url","MappedOnlyUHGV"
"UHGV-2113084","vOTU-122694",18221,"No",50.09,20,90.46,824.1,10.53,11,"No",0,0,"Low-quality","16.44","AAI-based","No","Confident",0.9681,2,0,"Virus","14.29",1,1,"vFAM-00111;vSUBFAM-00351;vGENUS-04287;vOTU-122694","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gratiaviridae","top-genome-hit","accession=OGCO01000164.1; proteomic-score=0.069; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","Gratiaviridae","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis","5","80","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","1139","99.03","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","PHIST","0.500402","1.51658","NULL","NULL",0.9375,0.0625,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-211/UHGV-2113084",TRUE
"UHGV-1362208","vOTU-000296",40546,"No",53.45,55,95.18,701.673,3.7,11,"No",1,0,"Complete","100","DTR","No","Confident",0.9793,6,0,"Uncertain - viral or bacterial","5.97",7,1,"vFAM-00043;vSUBFAM-01958;vGENUS-02214;vSUBGEN-02034;vOTU-000296","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=38; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii","257","74.32","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","365","99.18","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","PHIST","0.105647","0.0566776","0.0","0.022673",0.2125,0.7875,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-136/UHGV-1362208",FALSE
"UHGV-0461524","vOTU-112839",5306,"No",39.84,4,83,1101,0,11,"No",0,0,"Medium-quality","81.15","AAI-based","No","Confident",0.9823,1,0,"Virus","11.86",3,0,"vFAM-00030;vSUBFAM-00119;vGENUS-00056;vOTU-112839","root;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae","top-genome-hit","accession=MT185428; proteomic-score=0.055; lca-rank=family","Monodnaviria","Sangervirae","Phixviricota","Malgrandaviricetes","Petitvirales","Microviridae","NULL","NULL","Microviridae","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","12","91.67","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","CRISPR","0.0","NULL","0.0","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-046/UHGV-0461524",TRUE
"UHGV-0167291","vOTU-015645",33276,"No",47.71,49,90.48,614.449,6.25,11,"No",0,0,"Medium-quality","81.73","AAI-based","No","Confident",0.9755,8,0,"Virus","20.52",14,0,"vFAM-00003;vSUBFAM-00095;vGENUS-20562;vOTU-015645","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=35; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","94","74.47","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae","69","97.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","CRISPR","0.711679","0.0757511","0.0","0.0",1,0,"Yes","temperate","integrase","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-016/UHGV-0167291",FALSE
"UHGV-0336680","vOTU-114413",36392,"No",56.72,57,91.4,583.526,8.93,11,"No",1,0,"Medium-quality","85.02","AAI-based","No","Confident",0.9822,5,0,"Virus","37.48",18,0,"vFAM-00024;vSUBFAM-03471;vGENUS-05098;vOTU-114413","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=37; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium","260","100","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium","7","71.43","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium","CRISPR","0.0","0.0","0.0","0.0",0.164978,0.835022,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-033/UHGV-0336680",FALSE
"UHGV-1356620","vOTU-000941",41483,"No",57,75,91.23,504.6,8.11,11,"No",0,0,"Complete","100","DTR","No","Confident",0.981,14,0,"Virus","77.68",27,0,"vFAM-00027;vSUBFAM-00338;vGENUS-00470;vSUBGEN-11439;vOTU-000941","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=52; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","350","99.14","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","224","80.36","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","CRISPR","0.0547846","0.793099","0.0","0.0",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-135/UHGV-1356620",FALSE
"UHGV-1447058","vOTU-025287",28246,"No",44.34,32,95.23,840.562,0,11,"No",0,0,"Medium-quality","62.59","AAI-based","No","Confident",0.9821,2,0,"Virus","13.19",3,0,"vFAM-00001;vSUBFAM-00035;vGENUS-00012;vOTU-025287","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=30; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","1251","99.52","d__Bacteria;p__Bacteroidota","12","58.33","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","CRISPR","1.6925","1.63263","0.205256","0.536693",0.0123899,0.98761,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-144/UHGV-1447058",FALSE
"UHGV-0087591","vOTU-144110",25777,"No",49.51,37,83.37,580.784,13.89,11,"No",0,0,"Medium-quality","53.25","AAI-based","No","Confident",0.9692,3,0,"Virus","7.07",7,1,"vFAM-00048;vSUBFAM-00204;vGENUS-12925;vOTU-144110","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=27; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","67","100","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","813","76.01","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","1.40795","1.26285","0.198129","0.122135",0.125,0.875,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-008/UHGV-0087591",TRUE
"UHGV-0191392","vOTU-071563",49932,"No",52.43,51,95.66,936.588,3.39,11,"No",0,0,"High-quality","92.85","AAI-based","Yes","Confident",0.9503,10,1,"Virus","30.18",18,6,"vFAM-00001;vSUBFAM-00011;vGENUS-09724;vSUBGEN-11812;vOTU-071563","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=29; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","56","96.43","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","PHIST","NULL","2.01878","NULL","0.313662",0.7,0.3,"Yes","temperate","integrase","No",2,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-019/UHGV-0191392",TRUE
"UHGV-0383419","vOTU-004687",6394,"No",43.09,11,83.23,483.818,11.11,11,"No",0,0,"Complete","100","DTR","No","Uncertain",0.6472,0,0,"Uncertain - viral or bacterial","0.98",0,0,"vFAM-00072;vSUBFAM-00266;vGENUS-02037;vSUBGEN-01519;vOTU-004687","root;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae","geNomad-markers","gene-hits=2; agreement=1","Monodnaviria","Loebvirae","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae","NULL","NULL","Inoviridae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","99","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis","22","86.36","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","CRISPR","0.0","0.0","NULL","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-038/UHGV-0383419",TRUE
"UHGV-1981586","vOTU-015259",51878,"No",50.82,69,89.06,669.565,8.82,11,"No",0,0,"Low-quality","46.41","HMM-based","No","Uncertain",0.9169,1,0,"Uncertain - viral or bacterial","-3.49",5,2,"vOTU-015259","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=17; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella paramesenteroides","1","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","34","91.18","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","PHIST","0.0","1.69583","NULL","NULL",0.0807121,0.919288,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-198/UHGV-1981586",TRUE
"UHGV-1991780","vOTU-095936",10500,"No",44.34,14,87.09,653.143,7.69,11,"No",0,0,"Low-quality","10.2","HMM-based","No","Uncertain",0.8879,0,0,"Uncertain - plasmid or chromosomal","3.04",1,1,"vFAM-00020;vOTU-095936","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=2; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","28","96.43","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","PHIST","NULL","1.5162","NULL","NULL",1,0,"Yes","temperate","integrase","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-199/UHGV-1991780",TRUE
"UHGV-0278844","vOTU-049983",33863,"No",58.46,52,92.77,604.154,15.69,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9776,13,0,"Virus","33.38",7,0,"vFAM-00005;vSUBFAM-00633;vGENUS-02900;vSUBGEN-12036;vOTU-049983","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=DQ840344; proteomic-score=0.085; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","17","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","23","95.65","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","PHIST","1.03683","0.178845","0.176926","0.0",0.9125,0.0875,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-027/UHGV-0278844",FALSE
"UHGV-1787750","vOTU-142362",12507,"No",51.99,7,76.83,1372.71,0,11,"No",0,0,"Low-quality","13.3","AAI-based","No","Uncertain",0.9683,0,0,"Uncertain - viral or bacterial","3.17",0,0,"vFAM-00066;vSUBFAM-00132;vGENUS-00954;vOTU-142362","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=5; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus","71","73.24","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","1619","93.33","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","0.380182","1.08436","NULL","NULL",0.183688,0.816312,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-178/UHGV-1787750",TRUE
"UHGV-0142594","vOTU-139249",43571,"No",56.99,64,91.01,619.594,11.11,11,"No",0,0,"Medium-quality","61.98","HMM-based","No","Confident",0.9764,3,0,"Virus","8.57",12,3,"vFAM-00001;vSUBFAM-00927;vGENUS-01162;vOTU-139249","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=JQ957932; proteomic-score=0.081; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945","1","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","14","71.43","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","PHIST","0.0","1.97018","0.0","0.380482",0.925,0.075,"No","temperate","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-014/UHGV-0142594",FALSE
"UHGV-2006033","vOTU-135580",10013,"No",45.49,9,87.55,974,18.18,11,"No",0,0,"Low-quality","27.51","AAI-based","Yes","Uncertain",0.9212,2,0,"Uncertain - viral or bacterial","4.17",4,3,"vFAM-00001;vOTU-135580","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=KT361654; proteomic-score=0.058; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Scatavimonas;s__Scatavimonas sp900540275","39","97.44","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Scatavimonas;s__Scatavimonas sp900540275","PHIST","NULL","0.119247","NULL","NULL",0.0397738,0.960226,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-200/UHGV-2006033",FALSE
"UHGV-1363510","vOTU-000317",46735,"No",48.44,67,92.82,647.463,3.03,11,"No",2,0,"Complete","100","DTR","No","Confident",0.9814,11,0,"Virus","89.48",31,0,"vFAM-00001;vSUBFAM-00114;vGENUS-00207;vSUBGEN-02076;vOTU-000317","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=LN681542; proteomic-score=0.124; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","105","96.19","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","42","83.33","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","CRISPR","1.78644","1.61949","0.20997","0.098093",0.9875,0.0125,"No","temperate","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-136/UHGV-1363510",FALSE
"UHGV-1449890","vOTU-060803",58802,"No",45.27,82,92.28,661.756,1.28,11,"No",1,0,"High-quality","97.82","AAI-based","No","Confident",0.9818,8,0,"Virus","23.44",34,1,"vFAM-00017;vSUBFAM-00014;vGENUS-00242;vSUBGEN-00220;vOTU-060803","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MG711463; proteomic-score=0.250; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia","31","100","d__Bacteria;p__Firmicutes_A","55","60","d__Bacteria;p__Firmicutes_A","PHIST","1.56726","2.94184","0.117442","0.827626",0.95,0.05,"No","temperate","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-144/UHGV-1449890",FALSE
"UHGV-2150245","vOTU-016844",13834,"No",55.77,21,91.54,603,5,11,"No",0,0,"Low-quality","10.09","HMM-based","No","Uncertain",0.9232,0,0,"Uncertain - viral or bacterial","2.37",2,1,"vFAM-00001;vSUBFAM-01597;vOTU-016844","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=8; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","360","78.61","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","PHIST","NULL","0.913285","NULL","NULL",0.128239,0.871761,"No","temperate","geNomad","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-215/UHGV-2150245",FALSE
"UHGV-1963607","vOTU-016847",13714,"No",66.38,22,95.79,597.136,8.7,11,"No",0,0,"Low-quality","18.45","HMM-based","Yes","Confident",0.8667,8,0,"Virus","15.84",6,2,"vFAM-00022;vSUBFAM-03583;vOTU-016847","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=14; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","110","99.09","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","PHIST","NULL","0.0517811","NULL","NULL",0.00247797,0.997522,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-196/UHGV-1963607",TRUE
"UHGV-2133137","vOTU-016843",12067,"No",39.21,18,90.79,608.667,0,11,"No",1,0,"Low-quality","7.49","HMM-based","No","Uncertain",0.9324,0,0,"Uncertain - viral or bacterial","5.69",2,1,"vFAM-00020;vOTU-016843","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=6; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis","90","77.78","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis","PHIST","NULL","0.901903","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-213/UHGV-2133137",FALSE
"UHGV-1367968","vOTU-002629",50421,"No",36.66,66,91.09,695.864,3.03,11,"No",1,0,"Complete","100","DTR","No","Confident",0.9787,6,0,"Virus","21.31",12,1,"vFAM-00001;vSUBFAM-00111;vGENUS-00102;vSUBGEN-00086;vOTU-002629","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=EF462198; proteomic-score=0.072; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","86","100","d__Bacteria;p__Bacteroidota","11","45.45","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","CRISPR","1.32413","1.41428","0.072438","0.827626",0.066603,0.933397,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-136/UHGV-1367968",FALSE
"UHGV-1522251","vOTU-086545",44915,"No",40.91,54,86.85,722.389,13.21,11,"No",1,0,"High-quality","99.9","AAI-based","No","Confident",0.9589,5,0,"Uncertain - viral or bacterial","4.96",5,0,"vFAM-00028;vSUBFAM-00482;vGENUS-02790;vSUBGEN-12838;vOTU-086545","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=32; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","34","94.12","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron","102","95.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron","PHIST","0.223718","0.0","0.0","0.0",0.9,0.1,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-152/UHGV-1522251",FALSE
"UHGV-1369227","vOTU-007733",42496,"No",50.95,40,85.3,906.225,12.96,11,"No",0,0,"Complete","100","ITR","Yes","Confident",0.9715,9,0,"Virus","29.79",8,4,"vFAM-00066;vSUBFAM-00132;vGENUS-10145;vSUBGEN-12953;vOTU-007733","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=40; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","198","99.49","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","804","76.24","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","1.29045","1.34842","0.153919","0.122135",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-136/UHGV-1369227",FALSE
"UHGV-2162837","vOTU-027102",16348,"No",59.94,11,90.71,1348.09,60,11,"No",0,0,"Low-quality","24.46","HMM-based","No","Uncertain",0.8765,3,0,"Uncertain - viral or bacterial","1.28",1,0,"vFAM-00022;vOTU-027102","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=7; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","492","98.78","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","PHIST","NULL","0.076441","NULL","NULL",0,1,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-216/UHGV-2162837",FALSE
